name,state
NODE_0000000,"[0.023071870509814404, 0.02547369550316291, 0.04148081248125894, 0.01852195661074747, 0.04612665958536885, 0.02113105328489386, 0.021767639001976084, 0.01854118985287788, 0.01939361696680616, 0.01834123430369634, 0.01764537704984859, 0.01799794282817959, 0.01872167263949977, 0.022771879663472328, 0.018925966757267144, 0.053460033448591765, 0.020566538374467022, 0.01799794282817959, 0.017997942828179573, 0.02209580215327561, 0.2503231328610291, 0.019683952221218097, 0.02306545758390642, 0.018545398754031384, 0.024883716080598837, 0.017504087741139387, 0.019287639372780767, 0.017372132332061637, 0.018383544641402905, 0.0901143159698997, 0.018805795770368]"
NC_063383.1,"[0.023109361466457905, 0.02550576512843642, 0.041512450020023815, 0.0185578984655723, 0.046147302041194105, 0.021166573955904197, 0.02180059590646389, 0.01857505494043145, 0.019428234844034914, 0.018376648884695326, 0.017678753053623417, 0.018032753028448353, 0.018758231991439722, 0.022806214902334428, 0.018954660723722386, 0.05347495792715043, 0.020604854166222028, 0.018032753028448353, 0.018032753028448336, 0.022129691098507345, 0.24935879825841098, 0.019722553137953652, 0.0230878515544909, 0.018579252605237576, 0.024890746260152634, 0.017538184111963097, 0.019325587336479225, 0.017405864360524725, 0.01841939385871026, 0.09014704323931554, 0.018839216675202386]"
NODE_0000001,"[0.005548875894672973, 0.006776111757257197, 0.012678881177741855, 0.0038401688905656327, 0.01548522533657328, 0.0048201155260971145, 0.005315895031436564, 0.004583142284416128, 0.005117734192524773, 0.003854252750857204, 0.00391971064826176, 0.0037442081909522663, 0.0038535496047406525, 0.005747950255218498, 0.0047541900884421565, 0.018537021218477934, 0.004710344677032185, 0.003744208190952279, 0.003744208190952259, 0.005371813334273333, 0.7831654949131336, 0.004032095028370356, 0.01063245802210279, 0.004590594091734743, 0.021079593628293074, 0.0035989550075897136, 0.003907891758293543, 0.0035900160269938435, 0.0037817217487431994, 0.030486413897286607, 0.004987158636012552]"
hMpxV/China/SZ-CDC/Strain059,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
NODE_0000002,"[3.8663847555921565e-92, 9.228559870987451e-89, 1.5737325108585186e-66, 3.903055170348737e-99, 2.670283111021941e-58, 3.949918376853984e-92, 7.970037196410043e-93, 7.434256715770263e-99, 5.751793632816437e-99, 7.37672346032065e-99, 1.3270323896219806e-98, 5.6649336640515165e-99, 1.265071440046413e-99, 1.5898730202931402e-92, 2.9073278089311923e-93, 8.102487558452043e-48, 5.380100139538829e-93, 5.664933664051526e-99, 5.6649336640460525e-99, 7.080900546603395e-93, 1.0, 1.4214406111943275e-99, 2.4227664128450338e-84, 7.468661766547529e-99, 8.306678320788173e-93, 1.372424216468242e-96, 1.6953165635610703e-99, 1.4865468950087138e-96, 3.913000499739962e-99, 4.4224126830481575e-38, 8.236738681125666e-99]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
