name,state
NODE_0000000,"[0.023292647252224914, 0.02598376455768766, 0.04259379114768545, 0.01881026977609561, 0.047433146763811294, 0.02153884665068756, 0.022172009432197656, 0.01804268579137953, 0.017886160403426676, 0.018561661414436565, 0.017731782024528218, 0.018273823297514275, 0.018250380177008446, 0.022925954103477315, 0.017909424801954434, 0.05528437171873556, 0.02085828660523363, 0.018273823297514244, 0.018273823297514258, 0.022469458363058626, 0.25216243806205196, 0.01998242276232718, 0.020007989113095752, 0.018148332462203313, 0.0203458612523895, 0.01782415875550529, 0.018532205353274323, 0.017664061966741727, 0.01798872165590591, 0.09283149210569983, 0.017946205634633408]"
NC_063383.1,"[0.023330046271391614, 0.026015279241562394, 0.0426243182815349, 0.01884607027851015, 0.04745191099642182, 0.021574161659349562, 0.022204614271486768, 0.018076906339307246, 0.017920078273930162, 0.018596985380037498, 0.017765352472606737, 0.01830849527845747, 0.018285168184013652, 0.022960122706581487, 0.01793598722442096, 0.05529662274770374, 0.020897915445777078, 0.01830849527845743, 0.018308495278457453, 0.022502999297039757, 0.25118539020506087, 0.020020810662671168, 0.020036365561127634, 0.018182770907708142, 0.02037713882130638, 0.017858219177243072, 0.01856773518828559, 0.017697736609183144, 0.018022983647731607, 0.0928605834979203, 0.017980240814714353]"
NODE_0000002,"[7.101970095795855e-92, 2.977127400266507e-88, 4.1380069032509784e-66, 1.3453231329894578e-98, 7.521301640948397e-58, 1.324714082011068e-91, 2.6843293138978764e-92, 2.6468447861799608e-98, 3.425816323939995e-98, 2.511054228886081e-98, 4.2790751372092475e-98, 1.955835075537364e-98, 7.46025750719639e-99, 5.1872563690259936e-92, 1.698787131105476e-92, 1.9113511654236108e-47, 1.3637484480398353e-92, 1.9558350755409212e-98, 1.9558350755422567e-98, 2.3609864046300316e-92, 1.0, 4.923043036651338e-99, 5.396085437051144e-84, 2.459049090115772e-98, 2.4692340152503225e-93, 4.6141433309246284e-96, 1.0124336329103615e-98, 5.077031676897781e-96, 2.2034327987131903e-98, 8.377385149377984e-38, 2.980592167029038e-98]"
hMpxV/China/SZ-CDC/Strain189,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
