name,state
NODE_0000000,"[0.022832424414326483, 0.02507376157984332, 0.041570923683681815, 0.01817691828665888, 0.045813604875550744, 0.020783643970127316, 0.021410666201318592, 0.01780828508643949, 0.018028643254547793, 0.01798843730990319, 0.017219292714249154, 0.017654611886014096, 0.017323041815096432, 0.022340933552608935, 0.018623929110273857, 0.05334957402788243, 0.020379197457676003, 0.017654611886014096, 0.017654611886014117, 0.021707327144556154, 0.25676840616885743, 0.019333635750553187, 0.021348666683623452, 0.01792313976200479, 0.03347198670207307, 0.017226880609688106, 0.01885778871508372, 0.01708173588411766, 0.017653226201771698, 0.0890455663547612, 0.017894527024682527]"
NC_063383.1,"[0.022869858741135302, 0.025106852133140387, 0.04160433847044622, 0.018213193623138297, 0.04583727868571604, 0.020819805162820663, 0.02144431677464876, 0.017841724984891335, 0.01806083186748713, 0.01802421012974581, 0.01725280609398656, 0.01768973725147072, 0.01735573769333147, 0.022376076557041644, 0.01865301477213771, 0.05336820746226766, 0.02041937492653772, 0.017689737251470685, 0.017689737251470713, 0.021741913297904685, 0.2557932165311545, 0.01937260789392283, 0.02137136986030362, 0.017957018813453976, 0.033475398912414696, 0.01726140521553132, 0.018895057012566056, 0.017115872580853255, 0.017687568311676987, 0.08908451845590579, 0.017927213281427448]"
NODE_0000001,"[0.0054992417481411916, 0.0062297923426107, 0.012444615912803936, 0.003530157006479335, 0.014379228410178874, 0.0044311557780459905, 0.004889619509454085, 0.004135353855345771, 0.004749659726556141, 0.0035294751408990496, 0.0035817291391600633, 0.0034370645195915222, 0.003983470638890297, 0.005226466381949011, 0.004463734830460433, 0.017304300567705558, 0.0040634020088044075, 0.0034370645195914745, 0.0034370645195914884, 0.004922256467880299, 0.7901965067722793, 0.0037162595326065977, 0.0089683709778837, 0.004093119625433159, 0.028730040737012522, 0.0033159392476975027, 0.003869867284111972, 0.003301424628098065, 0.0037322886860655315, 0.02793704378350845, 0.004464285701163714]"
hMpxV/China/SZ-CDC/Strain059,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
NODE_0000002,"[3.1446369052623446e-92, 1.1401862941444874e-88, 1.9470320464695525e-66, 4.501788077303885e-99, 3.40183554448552e-58, 4.6996722284608615e-92, 9.69375833999819e-93, 1.3360205358452997e-98, 2.281936092570978e-98, 8.497870010462541e-99, 1.7751757550414302e-98, 6.599448995237875e-99, 5.478143530431187e-99, 1.8968414988971176e-92, 3.803986628887595e-93, 1.0219352872305818e-47, 4.769555186789776e-93, 6.599448995223253e-99, 6.599448995233383e-99, 8.349838822206545e-93, 0.9999999999999999, 1.5848059868757833e-99, 8.538829409536021e-84, 1.150332597747212e-98, 2.457639016988158e-91, 1.561758873629661e-96, 2.370063711349921e-99, 1.7241700961932226e-96, 8.448142201488777e-99, 4.922107051119618e-38, 1.7912610383494417e-98]"
hMpxV/China/SZ-CDC/Strain189,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
