name,state
NODE_0000000,"[0.023033687219459437, 0.025829622306710223, 0.04244583670806904, 0.01864116785268956, 0.04732856777357303, 0.02137008152507249, 0.022013423549133437, 0.017806232423663755, 0.01824262347437442, 0.018402115716621262, 0.01752050045106318, 0.018109707286937626, 0.018849361328205708, 0.022824010792160253, 0.018391448447839576, 0.055205697266131594, 0.020282338966463285, 0.018109707286937678, 0.01810970728693766, 0.022309214133131555, 0.25647119706798827, 0.01982449552353088, 0.019197863058347437, 0.017805869162942793, 0.01976611511137508, 0.01766261838861504, 0.018850037860278245, 0.017519376682047186, 0.0178080147846354, 0.09259167322979435, 0.017677687335270684]"
NC_063383.1,"[0.023070935745935228, 0.025861307717577452, 0.042477187643191826, 0.018676828783230518, 0.04734843235062877, 0.02140536707062782, 0.022046060951766564, 0.01784016786238947, 0.018277490268210426, 0.018437318136436138, 0.017553835898253097, 0.01814424572805495, 0.01888560811864988, 0.022858312019194613, 0.018419019155590213, 0.05521943068914907, 0.02032097391951292, 0.018144245728055005, 0.018144245728054984, 0.022342786827782832, 0.2554888842977099, 0.019862774565147772, 0.019225253134159095, 0.017839804095083567, 0.019796805861021467, 0.01769655088836491, 0.01888643274020888, 0.01755295775917488, 0.017842104629252762, 0.09262326113150818, 0.017711370556077]"
NODE_0000002,"[4.13509124247546e-92, 1.6961930599723302e-88, 2.730523318010545e-66, 7.145066079628554e-99, 4.700129680655064e-58, 7.263498638675455e-92, 1.476956993724357e-92, 1.4878286286769422e-98, 1.2035178391194225e-98, 1.327141209961306e-98, 2.3917513838529024e-98, 1.0394827853720646e-98, 2.292648563192667e-99, 2.770397562531832e-92, 6.584833760028096e-93, 1.3323888124001294e-47, 9.22142107653347e-93, 1.039482785374488e-98, 1.0394827853725377e-98, 1.2897682840478853e-92, 0.9999999999999999, 2.563920900793737e-99, 5.491000423662927e-84, 1.4859054027830025e-98, 1.5216808487731462e-93, 2.4734234620729624e-96, 4.28155610279808e-99, 2.685804081947341e-96, 1.1827447389749532e-98, 6.500547529114133e-38, 1.7178568004262185e-98]"
hMpxV/China/SZ-CDC/Strain189,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-345/2022|EPI_ISL_16999118|2022-12-20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-291/2022|EPI_ISL_16999139|2022-11-22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-350/2022|EPI_ISL_16999138|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Brazil/RJ-FIOCRUZ-29814/2022|EPI_ISL_17614024|2022-11-24,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
