name,state
NODE_0000000,"[0.02347199430555472, 0.026109794923364377, 0.04124325320363164, 0.018907988995100898, 0.04733400103180914, 0.02160940262545268, 0.02227532987743642, 0.01851120882269656, 0.01881276502410568, 0.018490208675774607, 0.017849667706821445, 0.018373293900766006, 0.01910252290527605, 0.022473718258551326, 0.019030597020359353, 0.05485115838135525, 0.020149429562241458, 0.018373293900766006, 0.01837329390076601, 0.022448745483984615, 0.25235618216619143, 0.020069012750655767, 0.018111766469468035, 0.018373293900766006, 0.0186610946163939, 0.017830541465502725, 0.01939688198552625, 0.017667503011291587, 0.018704359055415502, 0.09210927700099864, 0.0189284190719757]"
NC_063383.1,"[0.023509433460042764, 0.026141058281748612, 0.04127214618675735, 0.0189437102010729, 0.047352064725367106, 0.021644492832425807, 0.022307759501206826, 0.01854615508741511, 0.018848375434007685, 0.01852509928671839, 0.017883233207330637, 0.018407903066794563, 0.019138792915164928, 0.022506745257470023, 0.01905864939759193, 0.054862650694163885, 0.020187221108346712, 0.018407903066794542, 0.018407903066794542, 0.022481898698406402, 0.2513775174223217, 0.020107266903113284, 0.01813683470294919, 0.018407903066794542, 0.018696912570899418, 0.01786435720868424, 0.019433902420479432, 0.0177009314705692, 0.018739824905934063, 0.09213710861361717, 0.018964245239017095]"
NODE_0000002,"[2.8619594990562953e-92, 5.0657138844724234e-89, 1.7824238731594714e-66, 2.244306315355962e-99, 1.4376914159801963e-58, 2.265272354559814e-92, 4.5019653334658e-93, 7.894298281864312e-99, 1.1133328608952806e-98, 4.602633816841618e-99, 9.987792537746518e-99, 3.2361349325256658e-99, 7.578500521100277e-100, 1.2098989326899593e-92, 2.992475324939821e-93, 4.913812058055373e-48, 3.948885688295335e-93, 3.2361349325247456e-99, 3.2361349325252974e-99, 4.3839081391698966e-93, 1.0, 8.600336814488649e-100, 1.6928481657788434e-84, 3.2361349325275053e-99, 9.479026223613298e-97, 8.077872249196216e-97, 1.178485177822681e-99, 8.776867181299236e-97, 2.4264503839861947e-99, 4.307624961376255e-38, 5.957052824174485e-99]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
