name,state
NODE_0000000,"[0.023282831713805616, 0.02555073987473283, 0.0422594468879948, 0.01855198239473876, 0.04655995038467263, 0.02119410219835027, 0.021822042935167256, 0.018222749651391347, 0.01844384353852178, 0.018365050501365943, 0.01757851212338327, 0.01801931931862175, 0.018198125556747626, 0.022835180858494546, 0.018778746026040793, 0.05410539890584937, 0.020538917813698987, 0.01801931931862178, 0.01801931931862178, 0.022140210397150747, 0.24995342065612836, 0.01971989945200979, 0.02160620043617917, 0.01823207275420999, 0.02731414314977764, 0.017561621514750266, 0.018576866493047677, 0.017430550135446733, 0.018013181374095032, 0.09077779425659013, 0.0183284600597934]"
NC_063383.1,"[0.023319747191369637, 0.02558309741899003, 0.04229083995735049, 0.01858807682019511, 0.0465811724248307, 0.021229876518634963, 0.02185522420845738, 0.018256136870866933, 0.018475924098417047, 0.018400635839235603, 0.017611871570119852, 0.018054274826264996, 0.018232633847183974, 0.022869832274298466, 0.018806798081274233, 0.05412097563976421, 0.020577381758485624, 0.01805427482626506, 0.018054274826265045, 0.022174342370754985, 0.24899133939706278, 0.019758622270230196, 0.02162749781643976, 0.01826664220881531, 0.02732646689074614, 0.017595944269442238, 0.018610913923359132, 0.01746450639791856, 0.01804735973645361, 0.09081217908165984, 0.018361136638848117]"
NODE_0000001,"[0.00598315939525835, 0.006777371910129592, 0.0135123874846744, 0.0038417296404750704, 0.015603345209186431, 0.004820110496530252, 0.005316299069932743, 0.004481889901554403, 0.005151315636920244, 0.003843922134198599, 0.0038891278233688185, 0.003739452543339769, 0.004104898510474599, 0.005723471270728885, 0.004925170894215086, 0.01870449761366854, 0.00467066396417906, 0.0037394525433398097, 0.003739452543339795, 0.005358725501147143, 0.7818734285170594, 0.004051445895165876, 0.009817810043361247, 0.004074373956084287, 0.021319883075653166, 0.0036011473218011967, 0.004644656491423357, 0.003593207313119334, 0.004045986744570195, 0.03021898745337766, 0.004832629101722575]"
hMpxV/China/SZ-CDC/Strain059,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
NODE_0000002,"[4.5034523506126874e-92, 1.828114379538145e-88, 2.6089576680534883e-66, 7.853695753858434e-99, 4.6711642003347765e-58, 7.923780547534661e-92, 1.5971637305410932e-92, 1.8208414308105814e-98, 2.6760916648691346e-98, 1.4641457683497208e-98, 2.8255722849119733e-98, 1.1411543717510541e-98, 5.005792478291145e-99, 3.0510282076465743e-92, 7.4749067089263714e-93, 1.2174561665122152e-47, 1.0813852316644315e-92, 1.1411543717509242e-98, 1.141154371751702e-98, 1.3751028514042892e-92, 1.0, 2.8684677244917053e-99, 7.989055445478058e-84, 1.2827980057709178e-98, 6.913692576773018e-94, 2.697038294456098e-96, 7.266018188052715e-99, 2.9360739903440008e-96, 1.3257084096612773e-98, 5.189581706076618e-38, 2.1957434566961265e-98]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
