name,state
NODE_0000000,"[0.023585646815859385, 0.02603539755369141, 0.0423100835416093, 0.018850189133840633, 0.04734224908355623, 0.021553285906955787, 0.02220587836245955, 0.018572527295754024, 0.018795481123325332, 0.018589657285656765, 0.017844939541825113, 0.018315718324595148, 0.019048151905711096, 0.022908082361884876, 0.018969969696062718, 0.05498917901681021, 0.02072250760310679, 0.018315718324595148, 0.01831571832459516, 0.022511940400741472, 0.25039896920552995, 0.02000947613685735, 0.021861303966782774, 0.018315718324595148, 0.01489680027693908, 0.017806210881626462, 0.018911439981550135, 0.017643360958711055, 0.01868630504402668, 0.09299121169774156, 0.018696881923003644]"
NC_063383.1,"[0.023623143537719715, 0.02606651834022429, 0.042339495008476564, 0.018885771559534963, 0.0473600736418749, 0.02158825744402935, 0.02223817778914264, 0.018607555861263114, 0.018830994990207645, 0.018624744870401222, 0.017878469261341803, 0.018350190578668123, 0.01908429226611469, 0.022941827100672583, 0.01899791184461562, 0.05500037006265473, 0.02076148590675988, 0.018350190578668112, 0.018350190578668126, 0.022545171254231833, 0.2494232265797054, 0.02004758592333891, 0.021892223362618354, 0.018350190578668105, 0.014925301644908623, 0.017839960217830346, 0.018947453610481186, 0.017676723371894434, 0.018721716249866655, 0.093018603325714, 0.01873218265970395]"
NODE_0000002,"[2.4397543532151755e-92, 1.2094672751710982e-88, 1.9661400965421553e-66, 5.498472371409616e-99, 3.1861308339062277e-58, 5.414459550742224e-92, 1.0765639142711383e-92, 6.817925791463028e-99, 6.174974291920716e-99, 1.0291704739809035e-98, 1.5997852344135825e-98, 7.917318625386188e-99, 1.8185764173509097e-99, 2.1639819685330907e-92, 4.395445148459236e-93, 8.941122753702986e-48, 6.3291286314719074e-93, 7.917318625376738e-99, 7.917318625379439e-99, 9.745481349775398e-93, 1.0, 2.0929296536297908e-99, 4.944271255569493e-85, 7.91731862535334e-99, 1.3306994415185767e-95, 1.9211427272792352e-96, 3.1227335962465832e-99, 2.0975722728965545e-96, 5.662925571204151e-99, 4.5086998636851314e-38, 6.2642151163312385e-99]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
