date,location
2023-06-12,Hong Kong
2023-07-01,Hong Kong
2023-07-08,Hong Kong
2023-07-08,Thailand
2023-07-15,Thailand
2023-07-30,Thailand
2023-08-05,Hong Kong
2023-08-07,Hong Kong
2023-09-09,Hong Kong
2023-11-04,Hong Kong
2024-04-20,Thailand
