difference_years,difference_days
0.29969621107716193,109.4640410959334
0.09420991187653271,34.410170312903574
0.033955972471403584,12.402418945180159
0.006415357278683587,2.34320924603918
0.023591460156467292,8.616780822149678
0.003072591094451127,1.1222638972482741
0.004462134211053126,1.6297945205871542
0.004462134211053126,1.6297945205871542
0.009555418934041882,3.4901167656587972
0.031512342872929366,11.509883234337451
0.04793944759558144,17.50988323428612
0.05341514916995038,19.509883234324377
0.045676164758560844,16.68321917806435
0.10764347932081364,39.31678082192718
0.08121823139344997,29.6649590164576
