name,state
NODE_0000000,"[0.02289383535658766, 0.025946105517287224, 0.04305944760327493, 0.018573893521649332, 0.04820406791573913, 0.021375035983167152, 0.022034655374253316, 0.017462961833272388, 0.01696738361042289, 0.018334176802481793, 0.017382251058825255, 0.018038925483873702, 0.017095926155374537, 0.02286032842114029, 0.01806913122552712, 0.05645903357095062, 0.019774734097894417, 0.018038925483873734, 0.018038925483873695, 0.022327384015699524, 0.2613773737231797, 0.01930324108592745, 0.018148509495667216, 0.018038925483873716, 0.01775367842428698, 0.017614046035599993, 0.01814579043279877, 0.017472049395917934, 0.01726783076108122, 0.09472689148612452, 0.017214535160373683]"
NC_063383.1,"[0.022931143091602664, 0.02597834103744878, 0.04309246743967931, 0.01860958241610507, 0.04822586417696869, 0.021410577547872685, 0.02206760436125146, 0.017496320752730173, 0.016999711341415872, 0.01836940239817728, 0.017415459865522374, 0.018073485239288974, 0.01712861183953561, 0.022894947725906244, 0.018096397640653576, 0.056475178436586275, 0.019812506924961493, 0.018073485239289, 0.018073485239288943, 0.022361261097778296, 0.2603903553168623, 0.0193405784420773, 0.018174328339770895, 0.018073485239288978, 0.017789717896349946, 0.017648066309891616, 0.018180888564277423, 0.01750571981000391, 0.01730094941571121, 0.09476269736499224, 0.01724737948871143]"
NODE_0000002,"[3.296775988091015e-92, 1.630728746407041e-88, 1.975334881574953e-66, 6.42606365247419e-99, 4.16285802315366e-58, 6.86545471579963e-92, 1.3731063540959393e-92, 1.3630492459949886e-98, 1.9224507500749324e-98, 1.1751040503998972e-98, 2.1308031895904383e-98, 9.35942384988914e-99, 8.059342089268402e-99, 2.464480094006615e-92, 5.992067987947547e-93, 1.0875676343574826e-47, 1.0835231293069181e-92, 9.359423849914144e-99, 9.35942384989977e-99, 1.1563702481437165e-92, 0.9999999999999999, 3.1167874214937864e-99, 4.441157830117173e-84, 9.359423849901905e-99, 5.195681564517844e-99, 2.2004771689739373e-96, 4.184648518588386e-99, 2.389040922557209e-96, 1.316797388968618e-98, 4.152033786917312e-38, 1.576200686542381e-98]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
