name,state
NODE_0000000,"[0.02377551741844259, 0.026089832286073145, 0.04179785781959389, 0.018854471545773483, 0.04761069775095868, 0.02158701455094523, 0.02224058845414624, 0.018465607183538298, 0.018754751612486367, 0.018441308762724, 0.017801195476355572, 0.01832167870843188, 0.019051041400259254, 0.02245552231175438, 0.018880746619997335, 0.055359237075658145, 0.020188999412967392, 0.01832167870843188, 0.01832167870843188, 0.022410639223201936, 0.25220068706312754, 0.020023180694759946, 0.016497882174050283, 0.01860330544781936, 0.01964359342513684, 0.017820963048803536, 0.01916943387356042, 0.017660114071715104, 0.018278404209668215, 0.09270165284467825, 0.01867071811650911]"
NC_063383.1,"[0.023813376158830307, 0.0261210881929762, 0.041827249686898174, 0.018890086515174296, 0.04762894803304462, 0.021622080943385198, 0.022272978358238268, 0.018500461220506276, 0.018790234712338875, 0.01847610177294249, 0.017834664809580715, 0.018356185875724622, 0.019087211452360968, 0.02248853213460987, 0.018908608075994125, 0.05537093489792114, 0.020226887170438534, 0.01835618587572463, 0.018356185875724632, 0.02244374813223157, 0.25122285422409485, 0.02006134431070447, 0.01652055495680088, 0.01863840489014791, 0.01968187762608616, 0.01785476748045204, 0.01920598355503755, 0.017693534809219962, 0.018313000072338638, 0.09272992081223558, 0.018706007368236487]"
NODE_0000002,"[1.9677189439458355e-92, 9.790769724999218e-89, 2.640066114087456e-66, 4.402009991266361e-99, 2.4869980612619956e-58, 4.380425476889225e-92, 8.708804270119324e-93, 1.5321501318965286e-98, 1.9303986375744985e-98, 8.965379442059666e-99, 1.9446536625155274e-98, 6.340694594018996e-99, 1.4693350459056968e-99, 2.3210356816774415e-92, 4.8717535524889126e-93, 7.381263364890617e-48, 7.257633598894188e-93, 6.340694594022239e-99, 6.340694594024403e-99, 8.39974404948873e-93, 1.0, 1.663051887877954e-99, 1.3441460369262837e-83, 5.594565831304835e-99, 1.5813273174830906e-97, 1.5423420763349169e-96, 2.4541362316815377e-99, 1.675487822701408e-96, 5.809722365928843e-99, 6.238650681427622e-38, 1.3203726184414955e-98]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
