name,state
NODE_0000000,"[0.02257964556029908, 0.025714389292355266, 0.04292125025623532, 0.018392415064620336, 0.047900945943017054, 0.021184902051586768, 0.02183617358204353, 0.017038430253148867, 0.0172371979747459, 0.01815903049051301, 0.017198270174221767, 0.017856915870812454, 0.016619852546400565, 0.02269097498286136, 0.01710195386882087, 0.05621841436919764, 0.019575173921445775, 0.01785691587081247, 0.017856915870812486, 0.022119517578467442, 0.2656750046316689, 0.01914807315041546, 0.01715893159250931, 0.017427729121287067, 0.022261922284511224, 0.0174674395396934, 0.01787562062160912, 0.01732879243435666, 0.017050098759082144, 0.09385734760409938, 0.016689754738349497]"
NC_063383.1,"[0.022616925539038102, 0.025746944687826206, 0.04295544550034187, 0.0184281196447834, 0.04792409085518601, 0.021220593664344395, 0.021869294011318423, 0.017071279164221995, 0.017270475287276352, 0.018194279539536853, 0.017231461550748974, 0.01789147485055046, 0.01665192089987547, 0.022725847690452005, 0.017128000514598007, 0.05623629673885321, 0.01961299048780938, 0.01789147485055046, 0.01789147485055044, 0.022153559257044503, 0.26468333404083705, 0.019185507857066998, 0.017183699632254627, 0.01746139087643037, 0.022298634559517406, 0.017501520142985817, 0.01791054643964028, 0.017362527846313633, 0.017083131313700897, 0.09389587686876473, 0.016721880837581717]"
NODE_0000002,"[3.131600607523847e-92, 1.436552029910028e-88, 1.9149989211578276e-66, 5.310527583485372e-99, 4.022766292198499e-58, 5.8029849058986754e-92, 1.1885078288322454e-92, 1.59258816362188e-98, 1.4858650185536643e-98, 9.771832816723003e-99, 1.8909911354706795e-98, 7.830693735060588e-99, 9.571389147651261e-99, 2.099253574398838e-92, 9.547280685315343e-93, 1.1368859838645015e-47, 1.0268242422374067e-92, 7.830693735065929e-99, 7.830693735052128e-99, 9.859925222412674e-93, 1.0, 2.5617469757756788e-99, 1.2732144441934449e-83, 1.136194074964886e-98, 2.465061656189854e-96, 1.8327634249862244e-96, 4.318096523327777e-99, 2.0015476665459284e-96, 1.278152023250426e-98, 4.5860589870187134e-38, 2.127790480651253e-98]"
hMpxV/China/SZ-CDC/Strain189,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
