name,state
NODE_0000000,"[0.023476588588428122, 0.02605113997583945, 0.042207886528398485, 0.018875767497450423, 0.0472958723189765, 0.021576857265656883, 0.022227252775895913, 0.01863132684868478, 0.01936729296107461, 0.018617785932162085, 0.01789490344185856, 0.01834408615312175, 0.019072807667387875, 0.022927677468497977, 0.018897700167214516, 0.05490763226880948, 0.020741536024109844, 0.01834408615312175, 0.01834408615312175, 0.022534846881694662, 0.24935901177759276, 0.020046176813813307, 0.021994424257428435, 0.01849122505407062, 0.015042607962789572, 0.01782922169881653, 0.019382246230512868, 0.01766595096629028, 0.018213455142410732, 0.09287006510448671, 0.018768481920282867]"
NC_063383.1,"[0.02351390582344547, 0.02608215452094099, 0.042236981141347864, 0.01891133033711425, 0.04731332713944837, 0.021611777024881, 0.022259488434562047, 0.018666402792705847, 0.019403911111834087, 0.018652859355852803, 0.017928464257692383, 0.018378545946794833, 0.019108925954327848, 0.022961354023448767, 0.018925467558797576, 0.0549183599272017, 0.02078046494972035, 0.018378545946794805, 0.018378545946794812, 0.022568015429572718, 0.24838446228900074, 0.020084285175942438, 0.022025433083689726, 0.01852599934861868, 0.015071279702704606, 0.01786294754399882, 0.019419113278936827, 0.017699289649204752, 0.018247822376347526, 0.09289668473747399, 0.01880385519080325]"
NODE_0000002,"[4.7410539710783854e-92, 1.2279840882847962e-88, 2.0406862159957815e-66, 5.689622522456781e-99, 3.20298097859818e-58, 5.53909557132033e-92, 1.101111096976181e-92, 6.884975112736307e-99, 4.380343462261612e-99, 1.0620273949770591e-98, 1.5985778597466832e-98, 8.159743697717542e-99, 1.8899145557043125e-99, 2.2204654763071518e-92, 3.892767390607251e-93, 8.981286633250718e-48, 6.558882450875771e-93, 8.159743697698059e-99, 8.15974369770084e-99, 1.0021123149610724e-92, 1.0, 2.1536143384910383e-99, 4.7012557282929385e-85, 7.43792272814966e-99, 7.693408323828511e-96, 1.9830676180481435e-96, 3.037918633158085e-99, 2.1637751377285724e-96, 7.869783697393322e-99, 4.6799591892977324e-38, 6.272567218275305e-99]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
hMpxV/Peru/LIM-INS-338/2022|EPI_ISL_16999113|2022-12-19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-357/2022|EPI_ISL_16999116|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-342/2022|EPI_ISL_16999121|2022-12-17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
