name,state
NODE_0000000,"[0.02270653856376929, 0.02521010931004739, 0.042040803479585144, 0.018253101810517567, 0.04630690723320172, 0.020894894646270448, 0.02151343609665188, 0.017491223086401476, 0.017964328365696156, 0.018066727676710123, 0.017253145783855537, 0.01771810435966422, 0.017203371928783222, 0.022549824362765786, 0.017495275024893956, 0.054051646422512756, 0.019916681122723618, 0.01771810435966422, 0.01771810435966425, 0.021809079444018272, 0.2565738632035586, 0.01914131657654355, 0.01967044057937372, 0.017496704231535373, 0.03616319535750425, 0.017317731031895697, 0.01794268508845128, 0.017197795591561246, 0.01735198088628409, 0.08985407798674161, 0.01740880202915382]"
NC_063383.1,"[0.02274405702894688, 0.025243640463525487, 0.042075305080680296, 0.018289685354723813, 0.04633139990110815, 0.02093145696477382, 0.021547449948924446, 0.017524179181152528, 0.017997392889721485, 0.018102818280020437, 0.01728693364453001, 0.017753507025358186, 0.01723537283432976, 0.022585511951731536, 0.017520752831704536, 0.05407117774738347, 0.019954778459390112, 0.017753507025358203, 0.017753507025358235, 0.02184405220447932, 0.2556008536229998, 0.01917951578355382, 0.019690729053745804, 0.017529657372450637, 0.036170576839699736, 0.017352594803201372, 0.017976237244477118, 0.017232297418634558, 0.017385359923364627, 0.0898950002312414, 0.01744069186343051]"
NODE_0000001,"[0.005414781900208758, 0.006233763719692283, 0.012446652049180738, 0.0035303652451958542, 0.014463276594238936, 0.004432833955686478, 0.0048915234828274395, 0.004043549644670949, 0.004435525503862829, 0.003527227086525203, 0.003552071629429295, 0.0034346484733756085, 0.00412784321154785, 0.00525824926175869, 0.004924846029377286, 0.01744781280935949, 0.004370740510128577, 0.0034346484733756327, 0.0034346484733756466, 0.004917784018427585, 0.7887564956291451, 0.0038288042475268457, 0.008514734089696394, 0.004049752897887417, 0.029673623516692636, 0.0033190697193018243, 0.004302724177468073, 0.00331851366943484, 0.0038099016132621503, 0.027777741889511952, 0.004325846477827429]"
hMpxV/China/SZ-CDC/Strain059,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
NODE_0000002,"[4.631754916478825e-92, 1.7256635314393958e-88, 2.3566501055493716e-66, 6.872053318974506e-99, 4.614568307614728e-58, 7.192462827212739e-92, 1.4864365120896178e-92, 2.6174538170039395e-98, 2.6879522074559397e-98, 1.2822114949768192e-98, 2.6615575349972154e-98, 1.0166692986990228e-98, 1.6653206921069797e-98, 2.7062226129533642e-92, 1.7995016863623812e-92, 1.231506260801267e-47, 1.5166867771693138e-92, 1.016669298698271e-98, 1.0166692986989645e-98, 1.232837399871776e-92, 0.9999999999999999, 3.502758002941725e-99, 3.8336170948962956e-83, 2.6119844399161815e-98, 7.024870514135116e-93, 2.3700267876083003e-96, 1.0295024575330564e-98, 2.6067043896110453e-96, 1.9700839523080883e-98, 4.962666579427284e-38, 3.87698234549905e-98]"
hMpxV/China/SZ-CDC/Strain189,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LAM-INS-290/2022|EPI_ISL_16999067|2022-11-23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-292/2022|EPI_ISL_16999095|2022-11-25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/Peru/LIM-INS-349/2022|EPI_ISL_16999091|2022-12-26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hMpxV/USA/CA-CDPH-1000169/2023|EPI_ISL_16997397|2023-01-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
